date,code,action,reason,price,shares,pnl_pct
2024-02-06,002423.SZ,买入,金叉,7.55,100,0.0
2024-02-07,002085.SZ,买入,金叉,5.69,100,0.0
2024-02-08,000972.SZ,买入,金叉,4.12,200,0.0
2024-03-01,000972.SZ,卖出,止损,3.91,200,-5.097087378640774
2024-03-01,000723.SZ,买入,金叉,7.55,100,0.0
2024-03-04,000723.SZ,卖出,止损,7.14,100,-5.430463576158939
2024-03-04,601360.SH,买入,金叉,9.99,100,0.0
2024-03-07,601360.SH,卖出,止损,9.15,100,-8.408408408408407
2024-03-07,002467.SZ,买入,金叉,4.56,200,0.0
2024-03-15,300002.SZ,卖出,死叉,10.43,100,1.1639185257031892
2024-03-15,002467.SZ,卖出,止损,4.33,200,-5.043859649122795
2024-03-15,000593.SZ,买入,金叉,5.56,100,0.0
2024-03-18,601998.SH,卖出,死叉,6.24,100,-1.1093502377178988
2024-03-18,300933.SZ,买入,金叉,7.85,100,0.0
2024-03-19,002423.SZ,卖出,死叉,7.97,100,5.562913907284761
2024-03-19,600386.SH,买入,金叉,3.86,200,0.0
2024-03-20,300324.SZ,买入,金叉,3.17,300,0.0
2024-03-21,920427.BJ,卖出,死叉,11.28,100,8.775313404050156
2024-03-21,000157.SZ,卖出,死叉,7.72,100,3.7634408602150504
2024-03-21,300933.SZ,卖出,止损,7.28,100,-7.2611464968152735
2024-03-21,000560.SZ,买入,金叉,2.26,400,0.0
2024-03-21,300686.SZ,买入,金叉,8.31,100,0.0
2024-03-22,688373.SH,买入,金叉,5.89,100,0.0
2024-03-25,600386.SH,卖出,止损,3.62,200,-6.217616580310869
2024-03-25,000560.SZ,卖出,止损,2.14,400,-5.309734513274322
2024-03-25,600243.SH,买入,金叉,5.16,100,0.0
2024-03-26,600203.SH,买入,金叉,7.22,100,0.0
2024-03-27,300324.SZ,卖出,止损,2.86,300,-9.779179810725559
2024-03-27,300686.SZ,卖出,止损,7.54,100,-9.26594464500602
2024-03-27,688373.SH,卖出,止损,5.58,100,-5.263157894736836
2024-03-27,600203.SH,卖出,止损,6.6,100,-8.58725761772854
2024-03-27,002645.SZ,买入,金叉,10.3,100,0.0
2024-03-27,002632.SZ,买入,金叉,7.91,100,0.0
2024-03-28,000521.SZ,卖出,死叉,9.11,100,39.2966360856269
2024-03-28,600243.SH,卖出,止损,4.65,100,-9.883720930232553
2024-03-28,600243.SH,买入,金叉,4.65,200,0.0
2024-03-28,000600.SZ,买入,金叉,6.34,100,0.0
2024-03-29,600243.SH,卖出,止损,4.29,200,-7.741935483870977
2024-03-29,600807.SH,买入,金叉,3.47,200,0.0
2024-03-29,002298.SZ,买入,金叉,5.67,100,0.0
