date,code,entry_price,exit_price,loss_pct
2020-09-09,300506.SZ,7.06,6.63,-6.090651558073645
2020-09-09,300011.SZ,8.69,7.83,-9.896432681242807
2020-09-10,002685.SZ,6.12,5.44,-11.111111111111105
2020-09-10,300094.SZ,5.22,4.8,-8.045977011494255
2020-09-10,300089.SZ,5.48,5.1,-6.934306569343073
2020-09-10,300370.SZ,3.79,3.25,-14.24802110817942
2020-09-10,300091.SZ,5.1,4.66,-8.627450980392148
2020-09-10,300228.SZ,6.15,5.82,-5.36585365853659
2020-09-10,300320.SZ,7.01,6.06,-13.552068473609136
2020-09-10,300076.SZ,6.66,5.57,-16.36636636636637
2020-09-10,300067.SZ,6.22,5.36,-13.826366559485525
2020-09-10,002759.SZ,8.44,7.56,-10.426540284360186
2020-09-10,300103.SZ,13.1,11.71,-10.610687022900755
2020-09-10,300117.SZ,4.22,3.52,-16.58767772511848
2020-09-10,300213.SZ,10.36,9.43,-8.976833976833976
2020-09-10,300063.SZ,7.62,6.12,-19.685039370078737
2020-09-10,300110.SZ,5.66,5.13,-9.363957597173144
2020-09-11,600077.SH,4.02,3.81,-5.223880597014919
2020-09-11,300307.SZ,7.74,7.18,-7.235142118863058
2020-09-11,000633.SZ,5.42,4.92,-9.225092250922506
2020-09-14,600889.SH,9.1,8.3,-8.791208791208781
2020-09-15,002278.SZ,7.42,6.91,-6.873315363881394
2020-09-15,600751.SH,4.15,3.92,-5.5421686746988
2020-09-16,300240.SZ,7.46,7.07,-5.2278820375335044
2020-09-16,300359.SZ,8.76,8.2,-6.392694063926951
2020-09-17,300335.SZ,6.66,6.25,-6.156156156156156
2020-09-18,300528.SZ,9.61,9.04,-5.93132154006244
2020-09-21,300261.SZ,8.02,7.6,-5.2369077306733125
2020-09-22,300021.SZ,6.12,5.66,-7.516339869281041
2020-09-22,300230.SZ,6.08,5.63,-7.401315789473683
2020-09-22,300297.SZ,5.64,5.18,-8.15602836879432
2020-09-22,300410.SZ,9.97,9.09,-8.82647943831495
2020-09-23,600751.SH,4.31,4.09,-5.1044083526682105
2020-09-23,300419.SZ,7.95,7.54,-5.157232704402515
2020-09-24,002228.SZ,5.76,5.36,-6.94444444444443
2020-09-24,300375.SZ,5.27,4.96,-5.88235294117646
2020-09-24,300296.SZ,8.65,7.83,-9.479768786127174
2020-09-24,300287.SZ,5.75,5.14,-10.608695652173916
2020-09-24,300063.SZ,7.65,7.04,-7.973856209150332
2020-09-24,300355.SZ,4.43,4.19,-5.417607223476284
2020-09-24,300152.SZ,4.67,4.24,-9.207708779443246
2020-09-24,300004.SZ,7.92,7.38,-6.818181818181824
2020-09-24,300247.SZ,4.01,3.5,-12.718204488778051
2020-09-24,300117.SZ,4.58,4.31,-5.895196506550226
2020-09-24,300116.SZ,3.95,3.49,-11.64556962025316
2020-09-25,603758.SH,10.0,8.75,-12.5
2020-09-25,300022.SZ,6.25,5.92,-5.279999999999996
2020-09-25,002487.SZ,9.01,8.54,-5.216426193118762
2020-09-25,300466.SZ,7.8,7.33,-6.025641025641026
2020-09-25,603128.SH,7.7,7.3,-5.1948051948051965
2020-09-25,002006.SZ,6.93,6.24,-9.956709956709952
2020-09-28,002472.SZ,7.03,6.58,-6.401137980085347
2020-09-28,300005.SZ,5.97,5.54,-7.2026800670016655
2020-09-28,300091.SZ,5.95,5.54,-6.890756302521006
2020-09-28,300185.SZ,4.63,4.39,-5.183585313174954
2020-09-29,002610.SZ,2.59,2.45,-5.405405405405395
2020-09-30,600515.SH,9.5,8.89,-6.421052631578938
2020-10-09,002863.SZ,8.57,8.08,-5.7176196032672095
2020-10-14,002488.SZ,8.73,8.19,-6.18556701030929
2020-10-14,600515.SH,8.89,8.15,-8.323959505061874
2020-10-15,300312.SZ,9.27,8.52,-8.090614886731395
2020-10-15,300289.SZ,9.52,8.68,-8.823529411764708
2020-10-16,000880.SZ,12.5,11.41,-8.719999999999995
2020-10-19,002487.SZ,11.64,10.89,-6.443298969072164
2020-10-20,600537.SH,4.79,4.53,-5.427974947807934
2020-10-21,002096.SZ,10.8,10.24,-5.185185185185192
2020-10-21,300421.SZ,10.28,9.73,-5.3501945525291745
2020-10-22,002218.SZ,4.92,4.63,-5.894308943089433
2020-10-22,600409.SH,7.77,7.3,-6.048906048906044
2020-10-22,300466.SZ,8.35,7.9,-5.3892215568862145
2020-10-23,603128.SH,8.26,7.5,-9.200968523002418
2020-10-23,300591.SZ,12.41,11.36,-8.460918614020951
2020-10-23,300332.SZ,6.6,6.07,-8.03030303030302
2020-10-23,300155.SZ,9.38,8.87,-5.437100213219637
2020-10-23,300018.SZ,9.06,8.48,-6.401766004415011
2020-10-26,601339.SH,4.94,4.53,-8.299595141700411
2020-10-26,600573.SH,9.03,8.13,-9.966777408637862
2020-10-27,002196.SZ,6.92,6.32,-8.670520231213864
2020-10-28,300080.SZ,7.11,6.64,-6.610407876230672
2020-10-29,300279.SZ,8.06,7.49,-7.071960297766755
2020-10-29,300350.SZ,7.33,6.69,-8.731241473396988
2020-10-30,300035.SZ,11.76,11.1,-5.612244897959185
2020-10-30,300392.SZ,12.2,11.5,-5.737704918032782
2020-10-30,300335.SZ,7.76,6.7,-13.659793814432986
2020-10-30,300269.SZ,6.63,5.69,-14.17797888386123
2020-10-30,300112.SZ,12.17,11.08,-8.956450287592443
2020-10-30,300410.SZ,11.72,10.49,-10.494880546075091
2020-11-04,601218.SH,3.94,3.71,-5.837563451776651
2020-11-04,300210.SZ,6.49,6.15,-5.238828967642528
2020-11-06,300155.SZ,10.07,9.03,-10.327706057596831
2020-11-06,300320.SZ,8.0,7.48,-6.499999999999995
2020-11-06,300539.SZ,11.22,10.02,-10.69518716577541
2020-11-06,300407.SZ,11.0,10.0,-9.090909090909093
2020-11-06,300173.SZ,9.02,8.35,-7.427937915742788
2020-11-10,600166.SH,3.11,2.94,-5.466237942122188
2020-11-10,300283.SZ,7.61,6.8,-10.643889618922476
2020-11-10,300626.SZ,12.45,11.8,-5.220883534136533
2020-11-10,300221.SZ,7.73,7.23,-6.468305304010347
2020-11-10,300304.SZ,7.03,6.41,-8.819345661450928
2020-11-10,300641.SZ,7.58,6.95,-8.311345646437996
2020-11-10,600189.SH,7.63,7.19,-5.766710353866311
2020-11-11,002196.SZ,6.91,6.37,-7.814761215629518
2020-11-11,002164.SZ,6.38,6.04,-5.3291536050156685
2020-11-11,300061.SZ,7.32,6.88,-6.0109289617486406
