date,code,strategy,reason,pnl
2024-06-11,300783.SZ,红利低波,买入,0.0
2024-06-11,002570.SZ,红利低波,买入,0.0
2024-06-11,605599.SH,红利低波,买入,0.0
2024-06-11,600776.SH,红利低波,买入,0.0
2024-06-11,603868.SH,红利低波,买入,0.0
2024-06-11,603115.SH,红利低波,买入,0.0
2024-06-17,300783.SZ,红利低波,调仓,-1.387720773759471
2024-06-17,002570.SZ,红利低波,调仓,3.891050583657596
2024-06-17,002043.SZ,红利低波,买入,0.0
2024-06-24,003041.SZ,红利低波,止损,-12.74871039056743
2024-06-24,601567.SH,红利低波,调仓,1.1661807580175099
2024-06-24,603115.SH,红利低波,调仓,-3.8321167883211826
2024-06-24,002897.SZ,红利低波,买入,0.0
2024-06-24,300783.SZ,红利低波,买入,0.0
2024-06-24,003041.SZ,红利低波,买入,0.0
2024-06-28,603868.SH,红利低波,止损,-13.396481732070376
2024-07-01,688513.SH,红利低波,止损,-34.17919187975795
2024-07-01,605005.SH,红利低波,调仓,-7.678676904902537
2024-07-01,600506.SH,红利低波,买入,0.0
2024-07-02,300251.SZ,红利低波,止损,-12.924424972617754
2024-07-08,300660.SZ,红利低波,止损,-13.275299238302507
2024-07-08,603297.SH,红利低波,调仓,-6.702234078026004
2024-07-08,600776.SH,红利低波,调仓,-8.088978766430744
2024-07-08,002897.SZ,红利低波,调仓,-10.858324715615309
2024-07-08,002357.SZ,红利低波,买入,0.0
2024-07-08,300660.SZ,红利低波,买入,0.0
2024-07-08,300251.SZ,红利低波,买入,0.0
2024-07-08,603551.SH,红利低波,买入,0.0
2024-07-08,001332.SZ,红利低波,买入,0.0
2024-07-08,603868.SH,红利低波,买入,0.0
2024-07-08,603115.SH,红利低波,买入,0.0
2024-07-08,603066.SH,红利低波,买入,0.0
2024-07-08,603379.SH,红利低波,买入,0.0
2024-07-09,002043.SZ,红利低波,止损,-12.938005390835594
2024-07-15,002357.SZ,红利低波,调仓,12.749003984063755
2024-07-15,002043.SZ,红利低波,买入,0.0
2024-07-17,300783.SZ,红利低波,止损,-13.901345291479828
2024-07-22,603379.SH,红利低波,调仓,-10.178049428647373
2024-07-22,300783.SZ,红利低波,买入,0.0
2024-07-23,605599.SH,红利低波,止损,-12.330827067669182
2024-07-23,600506.SH,红利低波,止损,-12.480499219968799
2024-07-29,600506.SH,红利低波,买入,0.0
2024-07-29,002264.SZ,红利低波,买入,0.0
2024-07-29,002570.SZ,红利低波,买入,0.0
2024-07-29,605599.SH,红利低波,买入,0.0
2024-08-05,300529.SZ,红利低波,调仓,-3.6863028550777166
2024-08-05,688786.SH,红利低波,买入,0.0
2024-08-12,603868.SH,红利低波,调仓,6.5902578796561695
2024-08-12,300783.SZ,红利低波,调仓,-5.405405405405405
2024-08-12,300181.SZ,红利低波,买入,0.0
2024-08-12,300697.SZ,红利低波,买入,0.0
2024-08-23,002580.SZ,红利低波,止损,-12.130637636080866
2024-08-26,603066.SH,红利低波,调仓,8.381839348079168
2024-08-26,600506.SH,红利低波,调仓,1.497797356828201
2024-08-26,920425.BJ,红利低波,买入,0.0
2024-08-27,300251.SZ,红利低波,止损,-12.093628088426534
2024-09-02,300181.SZ,红利低波,止损,-13.36898395721925
2024-09-02,001332.SZ,红利低波,调仓,20.139534883720934
2024-09-02,920425.BJ,红利低波,调仓,1.6163793103448398
