trade_date,real_top2,proxy_top2,n_overlap,n_real,n_proxy
2026-02-13,300662.SZ|603231.SH,002053.SZ|603231.SH,1,2,2
2026-02-24,301036.SZ|603180.SH,300662.SZ|603180.SH,1,2,2
2026-02-25,301036.SZ|603180.SH,300662.SZ|603180.SH,1,2,2
2026-02-26,000055.SZ|603602.SH,300662.SZ|300783.SZ,0,2,2
2026-02-27,002088.SZ|301296.SZ,002088.SZ|301296.SZ,2,2,2
2026-03-02,600738.SH,001328.SZ|600738.SH,1,1,2
2026-03-03,600738.SH|603444.SH,600738.SH|603444.SH,2,2,2
2026-03-04,300002.SZ|603102.SH,600738.SH|605499.SH,0,2,2
2026-03-05,003010.SZ|603708.SH,301080.SZ|603708.SH,1,2,2
2026-03-06,300779.SZ|603708.SH,603103.SH|603638.SH,0,2,2
2026-03-09,002558.SZ|605338.SH,603638.SH|605338.SH,1,2,2
2026-03-10,603787.SH|605338.SH,300779.SZ|603787.SH,1,2,2
2026-03-11,000049.SZ|300779.SZ,000049.SZ|300779.SZ,2,2,2
2026-03-12,002748.SZ|603708.SH,002748.SZ|300251.SZ,1,2,2
2026-03-13,603214.SH|603324.SH,301110.SZ|601369.SH,0,2,2
2026-03-16,000528.SZ|601366.SH,000528.SZ|600111.SH,1,2,2
2026-03-17,-,301110.SZ|605099.SH,0,0,2
2026-03-18,300251.SZ|600111.SH,600111.SH|600995.SH,1,2,2
2026-03-19,000612.SZ|601020.SH,000612.SZ|601020.SH,2,2,2
2026-03-20,002996.SZ|601965.SH,002996.SZ|601965.SH,2,2,2
2026-03-23,002381.SZ|002917.SZ,002381.SZ|002917.SZ,2,2,2
2026-03-24,002282.SZ|002917.SZ,001378.SZ|002917.SZ,1,2,2
2026-03-25,002282.SZ|002917.SZ,002917.SZ|601882.SH,1,2,2
2026-03-26,603885.SH,000920.SZ|603885.SH,1,1,2
2026-03-27,300694.SZ|603885.SH,300694.SZ|603885.SH,2,2,2
2026-03-30,603885.SH|603979.SH,603885.SH,1,2,1
2026-03-31,300138.SZ|603885.SH,300138.SZ|603885.SH,2,2,2
2026-04-01,301248.SZ|603008.SH,002818.SZ|300138.SZ,0,2,2
2026-04-02,003012.SZ,000537.SZ|002063.SZ,0,1,2
2026-04-03,-,002140.SZ|600853.SH,0,0,2
2026-04-07,301195.SZ|600496.SH,002818.SZ|603039.SH,0,2,2
2026-04-08,002357.SZ|600101.SH,002357.SZ|600101.SH,2,2,2
2026-04-09,600886.SH,003012.SZ|600101.SH,0,1,2
2026-04-10,002932.SZ|600101.SH,000722.SZ|600101.SH,1,2,2
2026-04-13,001289.SZ,600566.SH|603833.SH,0,1,2
2026-04-14,600801.SH|601019.SH,600801.SH|601019.SH,2,2,2
2026-04-15,300138.SZ|600801.SH,300138.SZ|600801.SH,2,2,2
2026-04-16,002521.SZ|002540.SZ,002521.SZ|002749.SZ,1,2,2
2026-04-17,002204.SZ|300833.SZ,002204.SZ|300833.SZ,2,2,2
