open,close,open_next,open_next2,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,T_intraday,overnight_gap,exec1
25.93,26.46,26.54,26.0,29.11,497715.35,True,False,002827.SZ,2024-08-14,0.020439645198611744,0.003023431594860071,-0.02034664657121321
12.49,12.39,12.47,12.4,13.63,2105.8,False,False,605259.SH,2024-08-15,-0.008006405124099225,0.006456820016142117,-0.005613472333600655
17.42,17.5,17.69,17.42,21.0,12747.2,False,False,300619.SZ,2024-08-15,0.004592422502870175,0.010857142857142899,-0.015262860373092102
27.5,27.5,24.75,22.28,30.25,71140.0,True,False,002952.SZ,2024-08-16,0.0,-0.09999999999999998,-0.09979797979797977
12.47,12.4,12.4,12.44,13.64,1951.16,False,False,605259.SH,2024-08-16,-0.005613472333600655,0.0,0.003225806451612856
11.59,11.59,12.75,14.0,12.75,481737.25,True,True,000062.SZ,2024-08-19,0.0,0.10008628127696295,0.0980392156862746
12.4,12.33,12.44,12.19,13.56,2769.48,False,False,605259.SH,2024-08-19,-0.005645161290322553,0.008921330089213253,-0.020096463022508004
11.27,11.04,11.0,11.05,13.25,8894.0,False,False,300651.SZ,2024-08-20,-0.020408163265306145,-0.0036231884057970065,0.00454545454545463
27.92,27.32,27.2,27.41,32.78,12445.85,False,False,301509.SZ,2024-08-20,-0.02148997134670494,-0.004392386530014725,0.007720588235294201
11.0,11.06,11.05,10.94,13.27,13115.0,False,False,300651.SZ,2024-08-21,0.005454545454545601,-0.000904159132007254,-0.009954751131221795
18.03,17.75,17.76,17.6,21.3,4645.43,False,False,301276.SZ,2024-08-21,-0.015529672767609637,0.0005633802816902289,-0.009009009009009028
22.35,21.63,21.36,21.04,25.96,22726.0,False,False,301258.SZ,2024-08-22,-0.03221476510067123,-0.012482662968099856,-0.014981273408239737
17.76,17.65,17.6,17.18,21.18,5837.9,False,False,301276.SZ,2024-08-22,-0.006193693693693825,-0.0028328611898015277,-0.02386363636363642
21.75,21.76,21.57,21.8,23.94,10744.52,False,False,603031.SH,2024-08-23,0.0004597701149426925,-0.008731617647058876,0.01066295781177562
5.04,5.0,5.01,5.11,5.5,37134.5,False,False,000529.SZ,2024-08-23,-0.007936507936507908,0.0020000000000000018,0.019960079840319445
18.67,18.67,19.9,20.68,20.54,1496615.02,True,False,000062.SZ,2024-08-26,0.0,0.06588109266202435,0.039195979899497635
20.23,20.2,20.12,20.31,24.24,71803.87,False,False,301030.SZ,2024-08-26,-0.0014829461196244065,-0.003960396039603853,0.009443339960238495
10.35,10.21,10.06,10.1,11.23,15120.96,False,False,603303.SH,2024-08-27,-0.013526570048309039,-0.014691478942213565,0.00397614314115291
12.48,12.34,12.42,12.28,13.57,12269.8,False,False,603282.SH,2024-08-27,-0.011217948717948789,0.006482982171799101,-0.011272141706924366
10.06,10.17,10.1,10.45,11.19,11935.65,False,False,603303.SH,2024-08-28,0.010934393638170947,-0.0068829891838742,0.034653465346534684
10.18,10.04,10.01,10.23,11.04,94639.0,False,False,603885.SH,2024-08-28,-0.013752455795677854,-0.0029880478087648266,0.021978021978022122
6.65,6.7,6.69,6.8,7.37,46660.73,False,False,601512.SH,2024-08-29,0.007518796992481258,-0.0014925373134327957,0.01644245142002987
10.98,11.04,11.03,11.25,12.14,257011.35,False,False,600372.SH,2024-08-29,0.005464480874316724,-0.0009057971014492239,0.01994560290117864
14.88,15.2,15.12,14.87,18.24,9164.0,False,False,301227.SZ,2024-08-30,0.021505376344086002,-0.0052631578947368585,-0.016534391534391513
28.27,28.4,28.42,28.11,31.24,3319.0,False,False,603307.SH,2024-08-30,0.004598514326140668,0.0007042253521127861,-0.010907811400422296
5.37,5.32,5.31,5.3,5.85,139152.13,False,False,600125.SH,2024-09-02,-0.009310986964618184,-0.001879699248120481,-0.0018832391713746732
28.42,28.11,28.11,28.15,30.92,2888.0,False,False,603307.SH,2024-09-02,-0.010907811400422296,0.0,0.0014229811454997687
28.11,28.16,28.15,28.2,30.98,2151.01,False,False,603307.SH,2024-09-03,0.001778726431874711,-0.00035511363636364646,0.001776198934280604
14.87,15.04,14.9,14.9,18.05,5086.65,False,False,301227.SZ,2024-09-03,0.01143241425689312,-0.00930851063829774,0.0
25.5,25.35,25.35,25.6,27.89,225278.46,False,False,600547.SH,2024-09-04,-0.00588235294117645,0.0,0.009861932938856066
28.15,28.2,28.2,29.98,31.02,2572.5,False,False,603307.SH,2024-09-04,0.001776198934280604,0.0,0.06312056737588656
14.9,14.97,14.98,14.53,17.96,7343.84,False,False,301227.SZ,2024-09-05,0.004697986577181235,0.0006680026720107257,-0.030040053404539413
30.0,30.39,30.39,29.29,36.47,11493.29,False,False,301391.SZ,2024-09-05,0.013000000000000123,0.0,-0.036196117143797335
11.44,11.44,12.58,9.27,12.58,1744501.0,True,True,600611.SH,2024-09-06,0.0,0.0996503496503498,-0.26311605723370435
17.92,17.92,19.71,18.63,19.71,1327165.18,True,True,603883.SH,2024-09-06,0.0,0.0998883928571428,-0.05479452054794531
7.99,7.82,7.85,7.72,8.6,1255346.5,False,False,601857.SH,2024-09-09,-0.021276595744680882,0.0038363171355497716,-0.016560509554140124
7.45,7.27,7.27,7.26,8.0,284995.09,False,False,601800.SH,2024-09-09,-0.024161073825503476,0.0,-0.0013755158184318717
6.5,6.47,6.39,6.26,7.12,575818.17,False,False,601872.SH,2024-09-10,-0.004615384615384688,-0.012364760432766575,-0.020344287949921713
7.71,7.56,7.56,7.42,8.32,252697.34,False,False,000543.SZ,2024-09-10,-0.01945525291828798,0.0,-0.01851851851851849
