open,close,open_next,open_next2,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,T_intraday,overnight_gap,exec1
22.95,22.67,22.67,22.9,24.94,20469.1,False,False,003008.SZ,2025-08-18,-0.012200435729847414,0.0,0.010145566828407393
24.16,24.05,24.05,24.09,28.86,27864.14,False,False,301065.SZ,2025-08-18,-0.004552980132450313,0.0,0.0016632016632016633
70.0,70.5,70.51,72.01,77.55,167969.4,False,False,603662.SH,2025-08-19,0.0071428571428571175,0.00014184397163119478,0.02127357821585596
24.2,21.55,21.43,20.71,25.86,143544.44,False,False,301188.SZ,2025-08-19,-0.10950413223140487,-0.005568445475638062,-0.033597760149323364
178.03,193.08,193.08,185.53,212.39,136529.42,False,False,603893.SH,2025-08-20,0.08453631410436446,0.0,-0.03910296250258971
18.9,19.11,19.16,18.88,22.93,82322.0,False,False,300719.SZ,2025-08-20,0.011111111111111072,0.0026164311878598134,-0.014613778705636848
23.16,23.01,23.24,23.11,27.61,102826.74,False,False,300482.SZ,2025-08-21,-0.006476683937823746,0.009995654063450488,-0.005593803786574814
72.01,70.19,69.7,72.48,77.21,103288.16,False,False,603662.SH,2025-08-21,-0.02527426746285244,-0.006981051431827812,0.0398852223816355
29.3,29.3,32.23,35.45,32.23,1901.0,True,True,605255.SH,2025-08-22,0.0,0.09999999999999987,0.09990691901954718
29.55,29.55,32.51,25.5,32.51,282970.63,True,True,605028.SH,2025-08-22,0.0,0.1001692047377325,-0.2156259612426945
32.23,32.23,35.45,39.0,35.45,474.0,True,True,605255.SH,2025-08-25,0.0,0.09990691901954718,0.10014104372355415
25.91,25.91,26.01,25.15,31.09,1385669.72,True,False,300192.SZ,2025-08-25,0.0,0.003859513701273798,-0.03306420607458682
35.45,35.45,39.0,42.9,39.0,867.0,True,True,605255.SH,2025-08-26,0.0,0.10014104372355415,0.09999999999999987
19.13,19.32,19.33,18.53,23.18,132164.49,False,False,300719.SZ,2025-08-26,0.00993204391008895,0.0005175983436851439,-0.0413864459389548
39.0,39.0,42.9,47.19,42.9,736.0,True,True,605255.SH,2025-08-27,0.0,0.09999999999999987,0.10000000000000009
10.35,9.81,9.82,9.77,11.77,272161.2,False,False,300821.SZ,2025-08-27,-0.05217391304347818,0.0010193679918450993,-0.005091649694501044
42.9,42.9,47.19,51.91,47.19,1122.0,True,True,605255.SH,2025-08-28,0.0,0.10000000000000009,0.10002119093028172
13.55,13.54,13.51,13.29,16.25,60898.0,False,False,300306.SZ,2025-08-28,-0.0007380073800739018,-0.0022156573116690614,-0.016284233900814238
47.19,47.19,51.91,57.1,51.91,2100.0,True,True,605255.SH,2025-08-29,0.0,0.10002119093028172,0.09998073588903877
9.77,9.86,9.81,10.03,11.83,212214.3,False,False,300821.SZ,2025-08-29,0.00921187308085969,-0.0050709939148071426,0.022426095820591074
51.91,51.91,57.1,62.81,57.1,648.0,True,True,605255.SH,2025-09-01,0.0,0.09998073588903877,0.10000000000000009
11.08,10.8,10.8,10.37,11.88,208990.04,False,False,002609.SZ,2025-09-01,-0.025270758122743597,0.0,-0.03981481481481497
