date,code,reason,pnl
2020-06-15,002483.SZ,调仓,2.752293577981657
2020-06-15,300039.SZ,调仓,2.5096525096525157
2020-06-15,603871.SH,买入,0.0
2020-06-15,002170.SZ,买入,0.0
2020-06-15,603040.SH,买入,0.0
2020-06-15,600961.SH,买入,0.0
2020-06-15,002327.SZ,买入,0.0
2020-06-15,603655.SH,买入,0.0
2020-06-15,002345.SZ,买入,0.0
2020-06-15,601126.SH,买入,0.0
2020-06-15,300809.SZ,买入,0.0
2020-06-15,000777.SZ,买入,0.0
2020-06-15,600863.SH,买入,0.0
2020-06-15,603203.SH,买入,0.0
2020-06-15,300415.SZ,买入,0.0
2020-06-22,300697.SZ,调仓,1.041666666666674
2020-06-22,300435.SZ,调仓,1.7745302713987554
2020-06-22,002014.SZ,调仓,13.684210526315788
2020-06-22,603016.SH,调仓,2.486069438491212
2020-06-22,000958.SZ,调仓,5.0970873786407855
2020-06-22,300371.SZ,调仓,1.7950635751682986
2020-06-22,002170.SZ,调仓,4.878048780487809
2020-06-22,603040.SH,调仓,13.047138047138041
2020-06-22,603655.SH,调仓,29.91452991452992
2020-06-22,601126.SH,调仓,8.5427135678392
2020-06-22,000777.SZ,调仓,3.5335689045936425
2020-06-22,603203.SH,调仓,7.919666540356185
2020-06-22,603351.SH,买入,0.0
2020-06-22,300756.SZ,买入,0.0
2020-06-22,002267.SZ,买入,0.0
2020-06-22,603648.SH,买入,0.0
2020-06-22,002098.SZ,买入,0.0
2020-06-22,603551.SH,买入,0.0
2020-06-22,002357.SZ,买入,0.0
2020-06-22,002346.SZ,买入,0.0
2020-06-22,000888.SZ,买入,0.0
2020-06-22,002483.SZ,买入,0.0
2020-06-22,600389.SH,买入,0.0
2020-06-22,002758.SZ,买入,0.0
2020-06-29,000506.SZ,调仓,2.5423728813559254
2020-06-29,002749.SZ,调仓,2.346278317152106
2020-06-29,300415.SZ,调仓,-5.080545229244116
2020-06-29,300817.SZ,买入,0.0
2020-06-29,603663.SH,买入,0.0
2020-06-29,002973.SZ,买入,0.0
2020-07-06,300176.SZ,调仓,8.027923211169274
2020-07-06,600681.SH,调仓,7.37864077669903
2020-07-06,000883.SZ,调仓,8.14606741573034
2020-07-06,000680.SZ,调仓,8.547008547008561
2020-07-06,603379.SH,调仓,5.977011494252871
2020-07-06,603256.SH,调仓,10.704960835509137
2020-07-06,600961.SH,调仓,38.4479717813051
2020-07-06,603351.SH,调仓,8.630313439244318
2020-07-06,002267.SZ,调仓,7.993474714518767
2020-07-06,002098.SZ,调仓,18.0952380952381
2020-07-06,002483.SZ,调仓,6.444444444444453
2020-07-06,603663.SH,调仓,8.749096167751258
2020-07-06,002973.SZ,调仓,6.573791902481507
2020-07-06,002887.SZ,买入,0.0
2020-07-06,600742.SH,买入,0.0
2020-07-06,603607.SH,买入,0.0
2020-07-06,600753.SH,买入,0.0
2020-07-06,300428.SZ,买入,0.0
2020-07-06,300488.SZ,买入,0.0
2020-07-06,603040.SH,买入,0.0
2020-07-06,300819.SZ,买入,0.0
2020-07-06,300681.SZ,买入,0.0
2020-07-06,603192.SH,买入,0.0
2020-07-06,002729.SZ,买入,0.0
2020-07-06,300181.SZ,买入,0.0
2020-07-06,603016.SH,买入,0.0
2020-07-13,000893.SZ,调仓,24.79061976549415
2020-07-13,603648.SH,调仓,12.388392857142861
2020-07-13,002758.SZ,调仓,7.017543859649122
2020-07-13,300817.SZ,调仓,11.978971085242218
2020-07-13,600742.SH,调仓,10.987791342952269
2020-07-13,603607.SH,调仓,15.394566623544614
2020-07-13,300428.SZ,调仓,8.072916666666675
2020-07-13,603040.SH,调仓,12.142857142857144
2020-07-13,300819.SZ,调仓,13.700281237444756
2020-07-13,300181.SZ,调仓,6.218487394957983
2020-07-13,603016.SH,调仓,24.51445835131636
2020-07-13,002645.SZ,买入,0.0
2020-07-13,603022.SH,买入,0.0
2020-07-13,603699.SH,买入,0.0
2020-07-13,002448.SZ,买入,0.0
2020-07-13,603067.SH,买入,0.0
2020-07-13,603136.SH,买入,0.0
2020-07-13,002478.SZ,买入,0.0
2020-07-13,603817.SH,买入,0.0
2020-07-13,002580.SZ,买入,0.0
2020-07-20,603871.SH,调仓,10.839981229469743
2020-07-20,600863.SH,调仓,7.6612903225806495
2020-07-20,000888.SZ,调仓,10.26548672566372
2020-07-20,600389.SH,调仓,11.569362613818935
2020-07-20,002887.SZ,调仓,10.722610722610737
2020-07-20,002729.SZ,调仓,4.643874643874635
2020-07-20,002645.SZ,调仓,5.717367853290201
2020-07-20,603699.SH,调仓,-3.8461538461538547
2020-07-20,603067.SH,调仓,16.93667157584684
2020-07-20,603136.SH,调仓,12.419781049452627
2020-07-20,603817.SH,调仓,3.6363636363636376
2020-07-20,002580.SZ,调仓,-0.8547008547008517
2020-07-20,600301.SH,买入,0.0
2020-07-20,688080.SH,买入,0.0
2020-07-20,002150.SZ,买入,0.0
2020-07-20,300819.SZ,买入,0.0
2020-07-20,603277.SH,买入,0.0
2020-07-20,603115.SH,买入,0.0
2020-07-20,600816.SH,买入,0.0
2020-07-20,300503.SZ,买入,0.0
2020-07-20,300181.SZ,买入,0.0
2020-07-20,002749.SZ,买入,0.0
2020-07-20,601126.SH,买入,0.0
2020-07-20,300817.SZ,买入,0.0
2020-07-20,600351.SH,买入,0.0
2020-07-20,600385.SH,买入,0.0
2020-07-20,300752.SZ,买入,0.0
2020-07-20,002758.SZ,买入,0.0
2020-07-20,603006.SH,买入,0.0
2020-07-27,688080.SH,止损,-12.487263670327186
2020-07-27,002327.SZ,调仓,5.772005772005784
2020-07-27,002345.SZ,调仓,19.452887537993924
2020-07-27,603551.SH,调仓,8.973570989551316
2020-07-27,002357.SZ,调仓,5.605786618444841
2020-07-27,300488.SZ,调仓,3.824091778202665
2020-07-27,002448.SZ,调仓,2.4822695035461084
2020-07-27,300181.SZ,调仓,8.848080133555914
2020-07-27,002749.SZ,调仓,5.0974512743628075
2020-07-27,600351.SH,调仓,3.018867924528301
2020-07-27,603006.SH,调仓,6.1299176578225145
2020-07-27,603662.SH,买入,0.0
2020-07-27,688080.SH,买入,0.0
2020-07-27,300827.SZ,买入,0.0
2020-07-27,600642.SH,买入,0.0
2020-07-27,300743.SZ,买入,0.0
2020-07-27,300039.SZ,买入,0.0
2020-07-27,300434.SZ,买入,0.0
2020-07-27,002729.SZ,买入,0.0
2020-07-27,300631.SZ,买入,0.0
2020-07-27,601858.SH,买入,0.0
2020-07-27,002580.SZ,买入,0.0
2020-08-03,600753.SH,调仓,6.629318394024275
2020-08-03,603022.SH,调仓,-0.7941009642654651
2020-08-03,603277.SH,调仓,2.415026833631484
2020-08-03,601126.SH,调仓,7.95631825273011
2020-08-03,300817.SZ,调仓,13.652868554829345
2020-08-03,300039.SZ,调仓,9.17782026768641
2020-08-03,002729.SZ,调仓,18.192627824019027
2020-08-03,002580.SZ,调仓,11.573236889692584
2020-08-03,002098.SZ,买入,0.0
2020-08-03,300839.SZ,买入,0.0
2020-08-03,600863.SH,买入,0.0
2020-08-03,300380.SZ,买入,0.0
2020-08-03,600674.SH,买入,0.0
2020-08-03,300176.SZ,买入,0.0
2020-08-03,000883.SZ,买入,0.0
2020-08-03,603203.SH,买入,0.0
2020-08-03,600681.SH,买入,0.0
2020-08-10,002379.SZ,调仓,13.754646840148709
2020-08-10,300756.SZ,调仓,13.945578231292522
2020-08-10,300681.SZ,调仓,5.372132064913249
2020-08-10,603192.SH,调仓,11.246762856085834
2020-08-10,002478.SZ,调仓,-0.7421150278293154
2020-08-10,002150.SZ,调仓,4.225352112676073
2020-08-10,603115.SH,调仓,3.251599147121542
2020-08-10,300503.SZ,调仓,8.243967828418231
2020-08-10,300827.SZ,调仓,13.789912077741784
2020-08-10,300434.SZ,调仓,8.478802992518709
2020-08-10,601858.SH,调仓,5.74585635359115
2020-08-10,300839.SZ,调仓,4.522292993630583
2020-08-10,600863.SH,调仓,1.9685039370078705
2020-08-10,600674.SH,调仓,2.7055150884495394
2020-08-10,600681.SH,调仓,0.18050541516245744
2020-08-10,300441.SZ,买入,0.0
2020-08-10,688222.SH,买入,0.0
2020-08-10,603726.SH,买入,0.0
2020-08-10,002956.SZ,买入,0.0
2020-08-10,688310.SH,买入,0.0
2020-08-10,002264.SZ,买入,0.0
2020-08-10,603297.SH,买入,0.0
2020-08-10,603040.SH,买入,0.0
2020-08-10,300816.SZ,买入,0.0
2020-08-10,600317.SH,买入,0.0
2020-08-10,000020.SZ,买入,0.0
2020-08-10,603607.SH,买入,0.0
2020-08-10,300787.SZ,买入,0.0
2020-08-10,600167.SH,买入,0.0
2020-08-10,600396.SH,买入,0.0
2020-08-10,002893.SZ,买入,0.0
2020-08-17,002346.SZ,调仓,21.616161616161598
2020-08-17,300819.SZ,调仓,1.949317738791434
2020-08-17,300752.SZ,调仓,1.435406698564612
2020-08-17,600642.SH,调仓,5.187835420393561
2020-08-17,300743.SZ,调仓,6.322897483118495
2020-08-17,002098.SZ,调仓,1.5929203539823078
2020-08-17,300380.SZ,调仓,4.266797449730264
2020-08-17,300441.SZ,调仓,0.29910269192423566
2020-08-17,002956.SZ,调仓,1.122194513715713
2020-08-17,688310.SH,调仓,-3.002309468822162
2020-08-17,300816.SZ,调仓,16.072055211135815
2020-08-17,300787.SZ,调仓,7.017964071856286
2020-08-17,600167.SH,调仓,-0.35945363048167644
2020-08-17,300484.SZ,买入,0.0
2020-08-17,300697.SZ,买入,0.0
2020-08-17,300515.SZ,买入,0.0
2020-08-17,300839.SZ,买入,0.0
2020-08-17,688566.SH,买入,0.0
2020-08-17,300442.SZ,买入,0.0
2020-08-17,002937.SZ,买入,0.0
2020-08-17,603256.SH,买入,0.0
2020-08-17,603016.SH,买入,0.0
2020-08-20,688222.SH,止损,-10.978169605373644
2020-08-24,300809.SZ,调仓,7.676767676767682
2020-08-24,300176.SZ,调仓,5.737704918032804
2020-08-24,000883.SZ,调仓,4.473684210526319
2020-08-24,603203.SH,调仓,0.2977174991730003
2020-08-24,002264.SZ,调仓,3.9622641509434064
2020-08-24,603297.SH,调仓,2.9121653358384236
2020-08-24,603040.SH,调仓,5.369127516778516
2020-08-24,600396.SH,调仓,18.045112781954884
2020-08-24,300484.SZ,调仓,-1.7933390264731064
2020-08-24,300697.SZ,调仓,11.028500619578697
2020-08-24,300515.SZ,调仓,0.7073386383731117
2020-08-24,300839.SZ,调仓,7.09030100334449
2020-08-24,300442.SZ,调仓,10.201342281879189
2020-08-24,002937.SZ,调仓,1.8421052631579116
2020-08-24,002731.SZ,买入,0.0
2020-08-24,688222.SH,买入,0.0
2020-08-24,002345.SZ,买入,0.0
2020-08-24,600961.SH,买入,0.0
2020-08-24,603515.SH,买入,0.0
2020-08-24,603551.SH,买入,0.0
2020-08-24,603006.SH,买入,0.0
2020-08-24,002864.SZ,买入,0.0
2020-08-24,600329.SH,买入,0.0
2020-08-24,603998.SH,买入,0.0
2020-08-24,600863.SH,买入,0.0
2020-08-24,603699.SH,买入,0.0
2020-08-24,603648.SH,买入,0.0
2020-08-24,002327.SZ,买入,0.0
2020-08-24,688310.SH,买入,0.0
2020-08-24,300681.SZ,买入,0.0
2020-08-25,603016.SH,止损,-10.133333333333328
2020-08-27,688566.SH,止损,-10.099057743416285
2020-08-31,603662.SH,调仓,4.0725530458590065
2020-08-31,603607.SH,调仓,0.9779951100244544
2020-08-31,600961.SH,调仓,0.0
2020-08-31,603515.SH,调仓,-1.8817204301075363
2020-08-31,603006.SH,调仓,8.077260755048288
2020-08-31,600329.SH,调仓,2.028169014084513
2020-08-31,600863.SH,调仓,-1.5037593984962405
2020-08-31,603699.SH,调仓,2.9596977329974905
2020-08-31,002327.SZ,调仓,10.3494623655914
2020-08-31,600291.SH,买入,0.0
2020-08-31,688566.SH,买入,0.0
2020-08-31,002107.SZ,买入,0.0
2020-08-31,600483.SH,买入,0.0
2020-08-31,002532.SZ,买入,0.0
2020-08-31,300723.SZ,买入,0.0
2020-08-31,002937.SZ,买入,0.0
2020-08-31,603927.SH,买入,0.0
2020-08-31,002887.SZ,买入,0.0
2020-09-07,600291.SH,止损,-24.242424242424242
2020-09-07,300723.SZ,止损,-10.185752194325381
2020-09-07,002758.SZ,调仓,-5.634987384356604
2020-09-07,300631.SZ,调仓,9.657639243740412
2020-09-07,600317.SH,调仓,0.0
2020-09-07,603256.SH,调仓,-2.6697177726926036
2020-09-07,002345.SZ,调仓,0.540540540540535
2020-09-07,603551.SH,调仓,-1.440092165898621
2020-09-07,002107.SZ,调仓,-8.601134215500949
2020-09-07,002937.SZ,调仓,3.0000000000000027
2020-09-07,603927.SH,调仓,-5.294619982920567
2020-09-07,603351.SH,买入,0.0
2020-09-07,603876.SH,买入,0.0
2020-09-07,000506.SZ,买入,0.0
2020-09-07,603868.SH,买入,0.0
2020-09-07,603515.SH,买入,0.0
2020-09-07,002014.SZ,买入,0.0
2020-09-07,300837.SZ,买入,0.0
2020-09-07,600961.SH,买入,0.0
2020-09-07,603016.SH,买入,0.0
2020-09-07,603379.SH,买入,0.0
2020-09-07,002749.SZ,买入,0.0
2020-09-07,603192.SH,买入,0.0
2020-09-07,603530.SH,买入,0.0
2020-09-07,002978.SZ,买入,0.0
2020-09-07,002645.SZ,买入,0.0
2020-09-07,002170.SZ,买入,0.0
2020-09-09,603726.SH,止损,-10.481770833333325
2020-09-09,000020.SZ,止损,-11.136536994660561
2020-09-09,688310.SH,止损,-13.726919339164233
2020-09-09,688566.SH,止损,-11.99999999999999
2020-09-10,688080.SH,止损,-11.979301423027156
2020-09-10,002893.SZ,止损,-10.21555763823805
2020-09-10,002532.SZ,止损,-10.000000000000009
2020-09-14,002731.SZ,调仓,-4.347826086956519
2020-09-14,603998.SH,调仓,-1.3043478260869712
2020-09-14,603648.SH,调仓,-5.876288659793804
2020-09-14,002887.SZ,调仓,-5.384063173007892
2020-09-14,603515.SH,调仓,-5.150525933986227
2020-09-14,688566.SH,买入,0.0
2020-09-14,000777.SZ,买入,0.0
2020-09-14,002532.SZ,买入,0.0
2020-09-14,688310.SH,买入,0.0
2020-09-14,000893.SZ,买入,0.0
2020-09-14,600506.SH,买入,0.0
2020-09-14,002448.SZ,买入,0.0
2020-09-14,603256.SH,买入,0.0
2020-09-14,603579.SH,买入,0.0
2020-09-14,603067.SH,买入,0.0
2020-09-14,600517.SH,买入,0.0
2020-09-21,688222.SH,调仓,-2.0177165354330673
