date,factor,ic
2025-02-28,动量1m,-0.16726
2025-02-28,波动率60d,-0.23581
2025-02-28,VWAP量价相关,0.00629
2025-03-31,BP行业中性z,0.01282
2025-03-31,BP历史分位,0.03332
2025-03-31,ROE,-0.03454
2025-03-31,动量1m,0.08684
2025-03-31,波动率60d,0.01064
2025-03-31,VWAP量价相关,-0.07951
2025-04-30,BP行业中性z,0.12451
2025-04-30,BP历史分位,0.18413
2025-04-30,ROE,-0.12833
2025-04-30,动量1m,0.02472
2025-04-30,波动率60d,-0.15926
2025-04-30,VWAP量价相关,-0.03658
2025-05-30,BP行业中性z,0.09735
2025-05-30,BP历史分位,0.08572
2025-05-30,ROE,-0.1167
2025-05-30,动量1m,-0.03763
2025-05-30,波动率60d,-0.05421
2025-05-30,VWAP量价相关,0.09576
2025-06-30,BP行业中性z,0.24211
2025-06-30,BP历史分位,0.28084
2025-06-30,ROE,-0.03482
2025-06-30,动量1m,-0.0855
2025-06-30,波动率60d,-0.26182
2025-06-30,VWAP量价相关,-0.04497
2025-07-31,BP行业中性z,-0.02737
2025-07-31,BP历史分位,-0.01396
2025-07-31,ROE,0.11004
2025-07-31,动量1m,-0.19088
2025-07-31,波动率60d,0.05491
2025-07-31,VWAP量价相关,0.02848
2025-08-29,BP行业中性z,0.28149
2025-08-29,BP历史分位,0.24432
2025-08-29,ROE,-0.1344
2025-08-29,动量1m,-0.05599
2025-08-29,波动率60d,-0.22313
2025-08-29,VWAP量价相关,0.02245
2025-09-30,BP行业中性z,0.11449
2025-09-30,BP历史分位,0.13315
2025-09-30,ROE,-0.02539
2025-09-30,动量1m,-0.02782
2025-09-30,波动率60d,-0.14649
2025-09-30,VWAP量价相关,-0.03869
2025-10-31,BP行业中性z,0.31378
2025-10-31,BP历史分位,0.33927
2025-10-31,ROE,-0.26968
2025-10-31,动量1m,0.16396
2025-10-31,波动率60d,-0.40705
2025-10-31,VWAP量价相关,0.31292
2025-11-28,BP行业中性z,0.04585
2025-11-28,BP历史分位,-0.13043
2025-11-28,ROE,0.15764
2025-11-28,动量1m,-0.24346
2025-11-28,波动率60d,0.15829
2025-11-28,VWAP量价相关,-0.02544
2025-12-31,BP行业中性z,0.17166
2025-12-31,BP历史分位,0.1463
2025-12-31,ROE,-0.07993
2025-12-31,动量1m,-0.15257
2025-12-31,波动率60d,-0.12356
2025-12-31,VWAP量价相关,0.03817
2026-01-30,BP行业中性z,0.18888
2026-01-30,BP历史分位,0.04661
2026-01-30,ROE,-0.18379
2026-01-30,动量1m,0.05433
2026-01-30,波动率60d,-0.00276
2026-01-30,VWAP量价相关,0.04798
2026-02-27,BP行业中性z,0.20413
2026-02-27,BP历史分位,0.05622
2026-02-27,ROE,-0.14946
2026-02-27,动量1m,0.25543
2026-02-27,波动率60d,-0.26674
2026-02-27,VWAP量价相关,-0.07997
2026-03-31,BP行业中性z,0.08015
2026-03-31,BP历史分位,-0.00986
2026-03-31,ROE,-0.15695
2026-03-31,动量1m,-0.01419
2026-03-31,波动率60d,0.04714
2026-03-31,VWAP量价相关,-0.04351
2026-04-30,BP行业中性z,-0.07508
2026-04-30,BP历史分位,-0.12512
2026-04-30,ROE,0.1562
2026-04-30,动量1m,0.12882
2026-04-30,波动率60d,0.06358
2026-04-30,VWAP量价相关,0.01698
