week,ret
2021-02-01,-0.04804675771602022
2021-02-08,0.10022744656354736
2021-02-22,0.015564638647622652
2021-03-01,0.003873671169052706
2021-03-08,-0.0026172824138808956
2021-03-15,0.017313394350133317
2021-03-22,-0.01561852574800301
2021-03-29,0.01160607487778953
2021-04-12,0.01992603896046885
2021-04-19,-0.02565319854477437
2021-04-26,-0.009931541326096636
2021-05-10,0.04691914355549512
2021-05-17,0.018568938307314712
2021-05-24,0.014056701525540685
2021-05-31,0.005437103800120179
2021-06-07,0.010987573652713821
2021-06-21,0.014438600098347602
2021-06-28,-0.0004576848206737103
2021-07-05,0.019628873241571202
2021-07-12,-0.021337659466153226
2021-07-19,0.0037708615244834375
2021-07-26,0.003895095432986974
2021-08-02,0.00818888716988655
2021-08-09,0.011300087381124467
2021-08-16,0.006814559853187062
2021-08-23,0.025385105711831314
2021-08-30,0.06950622032436633
2021-09-06,0.04744543647151449
2021-09-13,-0.06329935770359349
2021-09-27,0.05909099622592584
2021-10-11,0.0037887770673964666
2021-10-18,-0.037342779758494364
2021-10-25,-0.004587582751890652
2021-11-01,-0.0032551414209519786
2021-11-08,0.037044232074982184
2021-11-15,0.009555042726439778
2021-11-22,-0.005684259292809602
2021-11-29,0.02121684640823928
2021-12-06,0.02252003107620837
2021-12-13,0.09190725430442434
2021-12-20,0.015562546885139208
2021-12-27,0.06821259149790669
2022-01-10,0.010658983322694592
2022-01-17,-0.052163987161011935
2022-01-24,-0.008199492815080013
2022-02-07,0.03778167729087218
2022-02-14,0.06506226367873147
2022-02-21,-0.013234476844069943
2022-02-28,0.03527058969706367
2022-03-07,-0.030068349765997197
2022-03-14,0.04255992866381049
2022-03-21,0.009091364664290735
2022-03-28,-0.029995121677801943
2022-04-11,0.011891465677131065
2022-04-18,-0.04994678240190918
2022-04-25,0.034756807124247634
2022-05-09,0.039342220083882516
2022-05-16,0.02639255595300779
2022-05-23,0.005683492765766773
2022-05-30,0.0411607942867869
2022-06-06,-0.011426816875356838
2022-06-13,0.051668718926820525
2022-06-20,0.07194072979095985
2022-06-27,0.017309896135582037
2022-07-04,0.025695352222350587
2022-07-11,0.021635741796999265
2022-07-18,0.007734687091577276
2022-07-25,0.004781529912124037
2022-08-01,-0.03517822353810501
2022-08-08,0.013330703960971236
2022-08-15,0.02493711512949871
2022-08-22,0.01878784243222218
2022-08-29,-0.002554263991392203
2022-09-05,-0.057315364440719274
2022-09-19,-0.044816980755019345
2022-09-26,0.00821622586471069
2022-10-10,0.08097764157924749
2022-10-17,-0.016756877298585906
2022-10-24,0.015224066962453221
2022-10-31,0.06073161507135714
2022-11-07,0.028984998501120973
2022-11-14,-0.0028129851768414977
2022-11-21,-0.009133673558136825
2022-11-28,0.05105139042245076
2022-12-05,-0.0077066557412643
2022-12-12,-0.01901150915528023
2022-12-19,-0.012050752945202336
2022-12-26,0.07005927307114988
2023-01-09,0.01008394056751554
2023-01-16,0.02256404098805193
2023-01-30,0.026173061180030786
2023-02-06,0.030472503863408676
