instrument,mode,fill,cost,hold,n_trades,win_rate,avg_win,avg_loss,total,cagr,max_dd,sharpe,years
ETF510300,V1,close,0.0002,4d,64,0.609375,0.020354410256410254,-0.016181,0.4481527622753665,0.033446203804202046,-0.07228881697757772,0.6071444883782626,11.255304585900069
ETF510300,V1,close,0.0002,5d,64,0.640625,0.024737439024390243,-0.02231417391304348,0.5929018513782762,0.042230760333800355,-0.0765327231500001,0.563392617140797,11.255304585900069
ETF510300,V1,open,0.0,4d,64,0.546875,0.020902057142857144,-0.017304499999999997,0.24745167879069108,0.01983854010627173,-0.15507811959691647,0.3267846101153789,11.255304585900069
ETF510300,V1,open,0.0,5d,64,0.59375,0.024915447368421054,-0.021015269230769226,0.43022697103260144,0.03230317757595258,-0.16429195559344104,0.41032357499112826,11.255304585900069
ETF510300,V1,open,0.0002,4d,64,0.546875,0.020702057142857142,-0.016907793103448275,0.23163241502312992,0.01868280350431828,-0.15763967313552016,0.309853176254977,11.255304585900069
ETF510300,V1,open,0.0002,5d,64,0.59375,0.024715447368421056,-0.021215269230769232,0.41212399731020444,0.031135528433085202,-0.1668279332511731,0.39720601021706675,11.255304585900069
ETF510300,V2,close,0.0,4d,139,0.5971223021582733,0.020122469879518073,-0.02097841818181818,0.588083784691487,0.04099355630768842,-0.14733660163036427,0.46773567794863996,11.512662559890487
ETF510300,V2,close,0.0,5d,139,0.60431654676259,0.023551988095238095,-0.025118399999999992,0.6772984268492268,0.045936245542923526,-0.2126332420255033,0.4411255186377651,11.515400410677618
ETF510300,V2,close,0.0002,4d,139,0.5971223021582733,0.019922469879518075,-0.02080380357142857,0.5446649206727141,0.038489983594483856,-0.14889798845022947,0.44255314384986205,11.512662559890487
ETF510300,V2,close,0.0002,5d,139,0.60431654676259,0.023351988095238096,-0.025318399999999994,0.6314500377314314,0.043421918491076905,-0.2133020031269339,0.42057900496504735,11.515400410677618
ETF510300,V2,open,0.0,4d,139,0.5755395683453237,0.0191188375,-0.020736385964912278,0.34603022678970397,0.026160158419110457,-0.23505116511482727,0.32502602362890165,11.507186858316222
ETF510300,V2,open,0.0,5d,139,0.5755395683453237,0.023244787499999996,-0.024278288135593223,0.41104418881023963,0.030367897242437714,-0.23948330611417554,0.31029423487598073,11.509924709103354
ETF510300,V2,open,0.0002,4d,139,0.5755395683453237,0.0189188375,-0.020233457627118638,0.30918672335235975,0.023688200106154467,-0.24240376360233312,0.2990264107665736,11.507186858316222
ETF510300,V2,open,0.0002,5d,139,0.5755395683453237,0.023044787499999997,-0.024478288135593218,0.37242514401643856,0.027886653963546726,-0.24438016099649806,0.29010016484771933,11.509924709103354
