trade_date,e_lian,e_shou,n_lian,n_shou,e_lian_exec,pct_rank
2022-09-23,-0.07807567533060218,-0.021682838406766297,6,16,-0.07725796245397665,0.1767293616349028
2022-09-26,-0.06615424551418811,-0.002084725049033509,2,36,-0.24796076587917798,0.3243708635583854
2022-09-27,-0.016123497165295084,0.035799161554098104,11,59,-0.18142012181923156,0.5875369533475172
2022-09-28,0.0018301528799409923,0.018685622069678408,14,19,-0.017861043177998706,0.3890529251411147
2022-09-29,0.04938595307478946,0.015749395488096313,9,12,-0.022708065970127825,0.2382454837799068
2022-09-30,0.029931440149229972,0.027899787989777082,9,27,0.025220458615519616,0.5355975411441742
2022-10-10,0.03977463207213841,0.0044784736889434545,9,22,0.001486355899303668,0.3427788170530138
2022-10-11,0.14476273017608365,0.013809731249806667,5,46,0.05937498465672836,0.3759409225329161
2022-10-12,0.03855804465304465,0.027946167508572463,20,60,0.0015367595691729782,0.7122824727590288
2022-10-13,0.050890750307207716,-0.0019311190590883473,23,47,0.022063993037599428,0.5514172269935808
2022-10-14,0.058889250603280166,0.02190684257478894,16,80,-0.07604587861141512,0.5861619978974393
2022-10-17,0.02458963510608383,0.025458010486560993,22,64,-0.027959368533317257,0.608557983716969
2022-10-18,-0.020558844432097382,-0.03443325556201504,19,48,-0.05414969909038886,0.4632279136749198
2022-10-19,-0.10114169558354008,-0.02342698593100256,13,38,-0.10345240552958623,0.4048921207798809
2022-10-20,-0.08110834583567385,-0.009964883945186085,13,37,-0.1279788969718304,0.4280084367901842
2022-10-21,-0.056724226293162025,-0.04478139746550894,11,41,-0.051387896230938535,0.4563977491234039
2022-10-24,-0.0711377951964325,0.014496147758465642,8,27,-0.0711377951964325,0.2186662322804469
2022-10-25,-0.11130450072153601,-0.03371284977337778,13,40,-0.11987068644301037,0.5014974964685198
2022-10-26,-0.13671263414671908,0.042304402318971396,5,72,0.1012298363693258,0.3106486764224063
2022-10-27,-0.033699041379623096,-0.007646461917105253,13,33,-0.033699041379623096,0.3587814032830969
2022-10-28,-0.03872818776692208,-0.03570394114920195,5,17,-0.05863730234611317,0.1494087296055373
2022-10-31,-0.039906269661554625,-0.019885773171059024,8,67,-0.029420275043538245,0.5460669313728629
2022-11-01,-0.009183137238501608,0.01381625425097737,13,70,-0.10179560489979401,0.478983807399106
2022-11-02,0.012182387645020634,0.002836483641617999,19,65,-0.023512248586219194,0.5286490325901623
2022-11-03,0.07930157068032799,0.03811589468557047,11,31,0.10430131504995133,0.2633318662428401
2022-11-04,0.14930394966913724,-0.006506355730858992,12,59,0.13905902828975142,0.5751459347185169
