trade_date,e20_log,e20_exec_log,n_active,n_base,cov_codes,pct_rank
2023-08-09,-0.08870666841957997,-0.09498339725979087,21,2823,1.0,0.3169677234598575
2023-08-10,-0.09862176109346406,-0.10126222884293035,24,2824,1.0,0.5856259502791883
2023-08-11,-0.13855421054191217,-0.13937758807024458,21,2861,1.0,0.4294698216661981
2023-08-14,-0.05862920743774186,-0.06315031796881847,25,2863,1.0,0.4092425189759642
2023-08-15,-0.1325866102950694,-0.13412959214853523,28,2874,1.0,0.4811662391292338
2023-08-16,-0.11480064088211184,-0.1154819285955258,23,2882,1.0,0.3172983324237682
2023-08-17,-0.031188186284021736,-0.024806329801867026,35,2862,1.0,0.7473342869469386
2023-08-18,-0.10757807494516114,-0.10765826779055156,28,2887,1.0,0.512847720144372
2023-08-21,-0.11076576219688003,-0.10701023497512649,32,2900,1.0,0.7719296718433425
2023-08-22,-0.11290993660032028,-0.11366556976557801,41,2898,1.0,0.6014139552324115
2023-08-23,-0.13074671598887572,-0.13087577839983394,35,2925,1.0,0.6468827386666427
2023-08-24,-0.14035437172512485,-0.1411378412115423,33,2919,1.0,0.5075586136211999
2023-08-25,-0.15482239879516138,-0.1356742894458994,22,2945,1.0,0.2218466625696221
2023-08-28,-0.21476315599678922,-0.21044702350485012,35,2932,1.0,0.4939314615452449
2023-08-29,0.002967322251240143,-0.0011332236665659995,72,2885,1.0,0.6950051177170418
2023-08-30,0.03190581644236622,-0.007329815355007086,35,2874,1.0,0.4833854407153562
2023-08-31,0.04880146626266292,0.05118030302895362,32,2881,1.0,0.5920819967395557
2023-09-01,-0.05068498586976815,-0.11961134630233917,25,2879,1.0,0.2505887775648986
2023-09-04,0.01595914008015,-0.003174869119349319,48,2868,1.0,0.7662002431098663
2023-09-05,0.009700209447615156,0.020725305040810486,19,2878,1.0,0.2638215202558687
2023-09-06,0.03226647717056468,0.004806813995468586,37,2864,1.0,0.8837602189359294
2023-09-07,-0.02168321043140646,-0.027109417189010436,17,2900,1.0,0.1086978052529271
2023-09-08,0.005360953071813161,-0.005445175918005186,37,2896,1.0,0.6480947858369764
2023-09-11,0.09199743532930049,0.09797604335649625,27,2879,1.0,0.3235004963898765
2023-09-12,0.07626557759585054,0.08110429929591756,27,2885,1.0,0.4950613008129678
2023-09-13,-0.06252077722853167,-0.05052766421551972,22,2908,1.0,0.3502282667604273
2023-09-14,-0.020369066469916014,-0.018209454542835637,22,2916,1.0,0.4946311094582366
2023-09-15,-0.06613849984693208,-0.06074844729994104,32,2925,1.0,0.736619535275345
2023-09-18,0.010234194952380905,0.004940463101232008,42,2918,1.0,0.5393643070253651
2023-09-19,-0.07248664825082256,-0.08197905515951767,19,2935,1.0,0.2405587903455698
2023-09-20,0.011408645784934626,-0.007393280319524537,18,2948,1.0,0.2199177681143322
2023-09-21,0.015321151948248972,0.007618951749534733,17,2961,1.0,0.4120457871816175
2023-09-22,-0.026021424841479852,-0.03644135938465405,31,2932,1.0,0.573323870966874
2023-09-25,-0.06850995919824229,-0.06429301230579874,27,2942,1.0,0.7094445897878336
2023-09-26,-0.11999090488511414,-0.11497535541453355,33,2946,1.0,0.7911282069729851
2023-09-27,-0.07540341729568732,-0.07897034130491577,35,2932,1.0,0.8687382923749993
2023-09-28,0.05897128469490732,0.012277940699682965,40,2918,1.0,0.6773855515514187
2023-10-09,0.02730140571989191,0.0015536734290663122,55,2930,1.0,1.0
2023-10-10,-0.003563711081992372,-0.02373255058777899,44,2922,1.0,0.6452859599640645
2023-10-11,0.021093675801189433,0.02329858745734225,37,2912,1.0,0.3253248119978262
2023-10-12,0.01073724247365166,0.02510694345625504,28,2899,1.0,0.332153054017271
2023-10-13,-0.03597587588674176,-0.03308161350559502,36,2913,1.0,0.6691802988173112
2023-10-16,-0.02298965256375469,-0.02340825929804241,54,2928,1.0,0.8334741338018501
2023-10-17,0.01913740773741837,-0.02983755032233922,28,2938,1.0,0.3656033314410931
2023-10-18,-0.01285182936700252,-0.028337532644348136,37,2971,1.0,0.8198819916532126
2023-10-19,0.03783061959689432,-0.02393105214507052,25,2983,1.0,0.5521261850074399
2023-10-20,-0.013038385845131714,-0.05383690759896971,36,3004,1.0,0.6755924360724785
2023-10-23,-0.0011878307116248987,-0.033863980130739685,36,3058,1.0,0.7312214411860288
2023-10-24,-0.03354834935884811,-0.048237980358197305,63,3018,1.0,0.9232651422385326
2023-10-25,-0.0780293159214715,-0.08144408800786837,64,2988,1.0,0.9798756593331268
2023-10-26,-0.10834640533155937,-0.1282100437002119,42,2982,1.0,0.6463352148463114
2023-10-27,-0.0671038605305216,-0.07994021268061759,75,2957,1.0,0.8918818158329342
2023-10-30,-0.04175603863515198,-0.06390026577239744,67,2929,1.0,0.6105442622317379
2023-10-31,-0.0562233131865503,-0.07563937544100575,37,2957,1.0,0.4538817743434741
2023-11-01,-0.014021739651070973,-0.012048234222021045,36,2946,1.0,0.579579829682801
2023-11-02,-0.07376335199677594,-0.07945973526729323,29,2963,1.0,0.6315073604951364
2023-11-03,-0.056283610225469946,-0.06639356476556954,39,2941,1.0,0.5457027411617793
2023-11-06,-0.0514640604809115,-0.07130158515076528,60,2903,1.0,0.7886459545967724
2023-11-07,-0.08498419994182929,-0.10783939217869683,54,2895,1.0,0.8735418431801478
2023-11-08,-0.09647126896764102,-0.13583410143242614,53,2886,1.0,0.7348061639942463
2023-11-09,-0.052036533897944846,-0.09511262966611617,31,2893,1.0,0.2989399078712296
2023-11-10,-0.0533714746581387,-0.08700404487874772,33,2901,1.0,0.5116238757298754
2023-11-13,-0.04618727107359452,-0.03375122776006936,40,2877,1.0,0.5783509200950104
2023-11-14,-0.07218241897316907,-0.06526869419380929,38,2863,1.0,0.709067355973619
2023-11-15,-0.10299455887348184,-0.1136091570552454,57,2849,1.0,0.9209180206112992
2023-11-16,-0.05673954084341562,-0.06555715248365039,32,2873,1.0,0.3506685767491296
