BP,reversal,lowvol,ROE,IC均值,ICIR,IC>0占比
0.35000000000000003,0.55,0.0,0.1,0.07946541346071853,0.7145798249534527,0.73
0.1,0.45,0.45,0.0,0.09054900782451666,0.7144192698860171,0.73
0.15000000000000002,0.65,0.1,0.1,0.0795272521916139,0.7143955177755076,0.74
0.15000000000000002,0.4,0.35000000000000003,0.1,0.09265907163553763,0.7141439959458198,0.74
0.30000000000000004,0.4,0.2,0.1,0.09154424759704158,0.7139548540937609,0.75
0.0,0.45,0.5,0.05,0.0880218559589022,0.7138723386218282,0.73
0.25,0.45,0.05,0.25,0.08163652131165136,0.71386305825073,0.73
0.30000000000000004,0.55,0.0,0.15000000000000002,0.07865336257454769,0.7138590494200276,0.76
0.05,0.65,0.2,0.1,0.08058344021729527,0.7136265356259722,0.74
0.25,0.4,0.1,0.25,0.08536222213450007,0.7136030685996312,0.74
0.2,0.5,0.05,0.25,0.07950052830502495,0.7133622306577332,0.74
0.35000000000000003,0.45,0.15000000000000002,0.05,0.08849766512269311,0.7133359545063008,0.71
0.05,0.4,0.35000000000000003,0.2,0.08843833764630539,0.7131661827837944,0.73
0.35000000000000003,0.5,0.15000000000000002,0.0,0.08632766982873784,0.7130962605316153,0.74
0.2,0.6000000000000001,0.05,0.15000000000000002,0.07892046385808386,0.7129810990496457,0.74
0.30000000000000004,0.4,0.1,0.2,0.0869817305129622,0.7128881127132775,0.73
0.0,0.65,0.25,0.1,0.08016498282438944,0.7122083366620233,0.73
0.05,0.45,0.5,0.0,0.0895187911539881,0.7120568352684455,0.74
0.05,0.4,0.4,0.15000000000000002,0.08977476199847859,0.7117720336262188,0.75
0.05,0.5,0.2,0.25,0.08104839092031511,0.7112039433991345,0.71
0.35000000000000003,0.4,0.1,0.15000000000000002,0.08792187152198272,0.7111776062500603,0.72
0.1,0.4,0.4,0.1,0.09182488347085441,0.7109177745565429,0.74
0.0,0.45,0.30000000000000004,0.25,0.08270822415759396,0.7109078014008979,0.71
0.25,0.65,0.05,0.05,0.07882746058813724,0.7106376497641893,0.73
0.2,0.7000000000000001,0.1,0.0,0.07883040806706904,0.710294587121008,0.76
0.30000000000000004,0.5,0.0,0.2,0.07869181557851605,0.7100660119315045,0.75
0.4,0.5,0.0,0.1,0.0806064734667886,0.7099084170950501,0.74
0.30000000000000004,0.45,0.25,0.0,0.0901952042831118,0.7098703572860497,0.74
0.35000000000000003,0.6000000000000001,0.05,0.0,0.0801253553831607,0.7098429777108378,0.75
0.05,0.4,0.30000000000000004,0.25,0.08617944349605829,0.7092763259956528,0.73
0.05,0.4,0.45,0.1,0.09056977809501028,0.7092754870064351,0.74
0.4,0.5,0.05,0.05,0.08294794946338749,0.7092688097576475,0.72
0.4,0.45,0.05,0.1,0.08439959999393772,0.708735293183219,0.71
0.0,0.4,0.45,0.15000000000000002,0.08798062501009689,0.7087273855538527,0.74
0.35000000000000003,0.4,0.05,0.2,0.08486292347336175,0.7086627424183208,0.73
0.0,0.5,0.25,0.25,0.08030506831678938,0.7085627688764224,0.7
0.1,0.7000000000000001,0.15000000000000002,0.05,0.07921469577510211,0.7081006327235664,0.75
0.0,0.4,0.4,0.2,0.08658478988236125,0.7080812354932048,0.74
0.30000000000000004,0.65,0.05,0.0,0.07855592834475808,0.707696092093988,0.75
0.05,0.7000000000000001,0.2,0.05,0.07954664493550316,0.7074744065227998,0.75
0.35000000000000003,0.45,0.0,0.2,0.08032187859684742,0.7073695499470952,0.74
0.35000000000000003,0.4,0.15000000000000002,0.1,0.08986107566119575,0.7071327086127671,0.71
0.2,0.35000000000000003,0.2,0.25,0.08943949971307755,0.7070377091622716,0.76
0.30000000000000004,0.6000000000000001,0.0,0.1,0.07768930944192451,0.706794380791046,0.76
0.4,0.45,0.0,0.15000000000000002,0.08135449301316137,0.7066350106384236,0.72
0.0,0.45,0.55,0.0,0.08772916173455325,0.7065256839144833,0.75
0.2,0.4,0.35000000000000003,0.05,0.09263494580318951,0.7063508730984824,0.76
0.30000000000000004,0.4,0.05,0.25,0.08307778713519731,0.7063142827594837,0.74
0.15000000000000002,0.4,0.4,0.05,0.09240551368391038,0.7062963718865556,0.75
0.25,0.35000000000000003,0.2,0.2,0.09158199162323477,0.7061999514643427,0.76
0.4,0.55,0.0,0.05,0.07920547339409041,0.706136110333037,0.74
0.2,0.35000000000000003,0.25,0.2,0.09209134972568166,0.7058236667851918,0.73
0.0,0.7000000000000001,0.25,0.05,0.07931206432708549,0.7057760298287585,0.75
0.2,0.65,0.05,0.1,0.07789992824762834,0.7057464182895303,0.73
0.25,0.4,0.30000000000000004,0.05,0.09254394469381869,0.7055549568357099,0.76
0.35000000000000003,0.6000000000000001,0.0,0.05,0.07797088078986218,0.7055524163908143,0.73
0.15000000000000002,0.4,0.15000000000000002,0.30000000000000004,0.08334040520919322,0.705464228317581,0.71
0.30000000000000004,0.45,0.0,0.25,0.0787934233365772,0.7054206836486231,0.74
0.15000000000000002,0.7000000000000001,0.1,0.05,0.078328822046977,0.7052767021003458,0.75
0.0,0.4,0.5,0.1,0.08863203600088627,0.7044052296913977,0.73
