rebalance_date,stock_code,weight,raw_score,industry,circ_mv
2022-05-31,300857.SZ,0.012499999999999999,15.62796085448186,IT设备,277099.3188
2022-05-31,603351.SH,0.012499999999999999,15.3978977247402,化学制药,283416.1417
2022-05-31,603909.SH,0.012499999999999999,14.320392353228033,建筑工程,293558.0592
2022-05-31,603660.SH,0.012499999999999999,14.234315556559352,IT设备,278228.9565
2022-05-31,002918.SZ,0.012499999999999999,12.060759862372967,陶瓷,290419.8499
2022-05-31,002758.SZ,0.012499999999999999,11.932168806645377,批发业,282548.631
2022-05-31,002799.SZ,0.012499999999999999,10.310840133776116,广告包装,272911.4514
2022-05-31,002577.SZ,0.012499999999999999,8.308549937827511,IT设备,289088.03
2022-05-31,002362.SZ,0.012499999999999999,6.879137837100968,软件服务,264176.3973
2022-05-31,300227.SZ,0.012499999999999999,6.287312280185257,专用机械,267035.1075
2022-05-31,300071.SZ,0.012499999999999999,2.669257630507138,广告包装,268647.7663
2022-05-31,002676.SZ,0.012499999999999999,1.3947304224327277,家用电器,262067.1996
2022-05-31,301080.SZ,0.012499999999999999,-0.7703695384125742,生物制药,278880.0
2022-05-31,600679.SH,0.012499999999999999,-1.2997729726874456,文教休闲,299782.4627
2022-05-31,603336.SH,0.012499999999999999,-3.329180317040577,农业综合,290436.8576
2022-05-31,600280.SH,0.012499999999999999,-3.581661519964648,百货,290275.3791
2022-05-31,603998.SH,0.012499999999999999,-4.0235583435165285,中成药,269681.8642
2022-05-31,600830.SH,0.012499999999999999,-4.438427220512116,多元金融,275319.5847
2022-09-30,603385.SH,0.0125,124.2254870319863,家居用品,267004.5642
2022-09-30,600969.SH,0.0125,119.54232632092041,水力发电,275687.6106
2022-09-30,600665.SH,0.0125,109.67592927142063,全国地产,277383.3292
2022-09-30,002878.SZ,0.0125,106.86369067386086,广告包装,278471.6006
2022-09-30,002822.SZ,0.0125,106.23077691780902,装修装饰,278800.3971
2022-09-30,603458.SH,0.0125,102.17064608414255,建筑工程,291395.3768
2022-09-30,002734.SZ,0.0125,101.34295544305758,农药化肥,292044.5884
2022-09-30,603116.SH,0.0125,95.76706700393618,服饰,296167.2112
2022-09-30,002757.SZ,0.0125,90.62519448716225,专用机械,271689.9685
2022-09-30,300732.SZ,0.0125,89.09734135290168,建筑工程,292477.0556
2022-09-30,300423.SZ,0.0125,88.87835780730094,电气设备,283527.7176
2022-09-30,002322.SZ,0.0125,87.47528169197153,软件服务,280377.4299
2022-09-30,603096.SH,0.0125,87.32514810838497,出版业,272356.0085
2022-09-30,300533.SZ,0.0125,86.80387517021532,互联网,277968.435
2022-09-30,002788.SZ,0.0125,85.64502635386746,医药商业,299326.071
2022-09-30,600727.SH,0.0125,82.11455865960677,化工原料,293225.2307
2022-09-30,002986.SZ,0.0125,81.53467432322059,化工原料,281203.7676
2022-09-30,300214.SZ,0.0125,81.44193965518335,化工原料,270629.0271
2022-09-30,300485.SZ,0.0125,78.64696823710892,生物制药,294847.8581
2022-09-30,002448.SZ,0.0125,78.36399961132531,汽车配件,290346.1734
2022-09-30,300047.SZ,0.0125,78.28769507977694,软件服务,297493.9177
2022-09-30,603797.SH,0.0125,77.98423490719408,环境保护,291478.8357
2022-09-30,600439.SH,0.0125,76.01464309026925,服饰,293184.229
2022-09-30,002546.SZ,0.0125,75.30639822716388,电气设备,279249.571
2022-09-30,002772.SZ,0.0125,74.7531368404083,种植业,278366.3124
2022-09-30,002164.SZ,0.0125,69.05158474777696,机械基件,264976.0201
2022-09-30,000019.SZ,0.0125,68.36781155137443,农业综合,286335.1644
2022-09-30,300259.SZ,0.0125,66.15557024087049,电器仪表,271030.4069
2022-09-30,002054.SZ,0.0125,65.97949764669522,染料涂料,266484.1382
2022-09-30,600858.SH,0.0125,65.66092586530117,百货,274818.0034
2022-09-30,300867.SZ,0.0125,64.27340482734374,环境保护,266976.6479
2022-09-30,688199.SH,0.0125,62.673015824819664,化工原料,291138.4164
2022-09-30,601999.SH,0.0125,61.714500492218505,出版业,287577.4734
2022-09-30,603999.SH,0.0125,59.645942326538595,出版业,273024.0
2022-09-30,300247.SZ,0.0125,59.26471931940577,医疗保健,273113.6064
2022-09-30,002748.SZ,0.0125,57.43660089063257,化工原料,263280.0
2022-09-30,300040.SZ,0.0125,55.650804757508375,新型电力,279605.8489
2022-09-30,300425.SZ,0.0125,55.137405022440376,环境保护,283512.8812
2022-09-30,600853.SH,0.0125,53.15133101601208,建筑工程,291421.4483
2022-09-30,600526.SH,0.0125,51.482085993010344,环境保护,280271.1921
2022-09-30,603817.SH,0.0125,51.46559686114626,环境保护,275965.906
2022-09-30,002956.SZ,0.0125,50.90109867297965,食品,274115.66
2022-09-30,600135.SH,0.0125,50.1377021689722,塑料,269491.8347
2022-09-30,300200.SZ,0.0125,49.898622652188344,化工原料,278583.2051
