调仓频率,持仓数,止损线,市值区间,年化收益,夏普比率,最大回撤,胜率,调仓次数,止损次数,耗时(秒)
Q,20,无,80亿+,-1.5%,-0.13,-28.5%,41%,29,-1,31.2
Q,30,无,全池,4.2%,0.17,-25.5%,47%,30,-1,33.3
Q,30,无,0-30亿,10.2%,0.43,-18.3%,58%,19,-1,31.6
Q,30,无,30-80亿,6.4%,0.28,-23.5%,53%,30,-1,32.2
Q,30,无,80亿+,1.3%,0.01,-25.9%,50%,28,-1,32.4
Q,30,-0.1,全池,4.8%,0.08,-23.1%,47%,30,376,33.6
Q,30,-0.1,0-30亿,8.6%,0.27,-23.4%,58%,19,310,30.7
Q,30,-0.1,30-80亿,7.6%,0.21,-22.0%,57%,30,399,31.6
Q,30,-0.12,全池,5.2%,0.11,-23.3%,47%,30,284,30.9
Q,30,-0.12,0-30亿,8.5%,0.27,-23.5%,58%,19,248,30.3
Q,30,-0.12,30-80亿,7.5%,0.22,-23.0%,53%,30,304,30.9
Q,30,-0.15,全池,4.4%,0.08,-23.1%,47%,30,168,32.6
Q,30,-0.15,0-30亿,8.5%,0.28,-23.2%,58%,19,159,30.7
Q,30,-0.15,30-80亿,7.5%,0.23,-22.3%,53%,30,171,31.1
Q,50,无,全池,5.1%,0.21,-23.8%,57%,30,-1,32.5
Q,50,无,0-30亿,9.3%,0.39,-18.5%,59%,17,-1,33.4
Q,50,无,30-80亿,7.9%,0.34,-21.8%,57%,30,-1,32.8
Q,50,无,80亿+,3.0%,0.10,-22.3%,57%,28,-1,32.6
Q,50,-0.1,全池,6.7%,0.17,-19.4%,53%,30,659,31.4
Q,50,-0.1,0-30亿,8.6%,0.28,-20.8%,53%,17,474,30.6
Q,50,-0.1,30-80亿,10.0%,0.31,-19.7%,57%,30,698,31.5
Q,50,-0.12,全池,6.7%,0.18,-19.9%,53%,30,504,32.8
Q,50,-0.12,0-30亿,8.7%,0.29,-21.4%,59%,17,369,30.7
Q,50,-0.12,30-80亿,9.8%,0.32,-19.8%,57%,30,539,31.5
Q,50,-0.15,全池,6.6%,0.18,-20.0%,53%,30,293,31.1
Q,50,-0.15,0-30亿,8.9%,0.30,-21.1%,59%,17,238,32.5
Q,50,-0.15,30-80亿,9.6%,0.32,-20.0%,57%,30,324,31.7
Q,80,无,全池,6.5%,0.28,-18.7%,53%,30,-1,33.9
Q,80,无,0-30亿,14.9%,0.64,-15.7%,67%,15,-1,32.0
Q,80,无,30-80亿,8.2%,0.36,-23.3%,60%,30,-1,33.7
Q,80,无,80亿+,5.6%,0.25,-19.8%,54%,28,-1,34.9
Q,80,-0.1,全池,7.7%,0.22,-17.5%,50%,30,1096,31.8
Q,80,-0.1,0-30亿,14.3%,0.53,-18.3%,67%,15,587,30.4
Q,80,-0.1,30-80亿,9.5%,0.29,-21.7%,53%,30,1164,31.5
Q,80,-0.12,全池,7.6%,0.22,-17.5%,50%,30,840,32.8
Q,80,-0.12,0-30亿,14.3%,0.54,-18.5%,67%,15,442,30.9
Q,80,-0.12,30-80亿,9.6%,0.30,-21.7%,57%,30,894,31.5
Q,80,-0.15,全池,7.7%,0.24,-17.4%,50%,30,511,31.7
Q,80,-0.15,0-30亿,14.4%,0.55,-18.3%,67%,15,286,30.4
Q,80,-0.15,30-80亿,9.6%,0.32,-21.4%,57%,30,547,31.3
