entry_date,exit_date,stocks,n_stocks,period_return
2025-01-02,2025-02-05,000932.SZ;603323.SH;600325.SH;601860.SH;600739.SH...(10),10,-0.01887870867071255
2025-02-05,2025-03-03,601860.SH;601963.SH;000778.SZ;600928.SH;601528.SH...(10),10,-0.04211346786826882
2025-03-03,2025-04-01,603323.SH;601528.SH;601997.SH;002807.SZ;002839.SZ...(10),10,0.022409473383454098
2025-04-01,2025-05-06,601528.SH;601860.SH;001227.SZ;601997.SH;600908.SH...(10),10,-0.023932734938565032
2025-05-06,2025-06-03,601528.SH;601577.SH;601997.SH;002807.SZ;601860.SH...(10),10,0.04596915783905266
2025-06-03,2025-07-01,600248.SH;001227.SZ;600782.SH;000709.SZ;600153.SH...(10),10,-0.007530940631781043
2025-07-01,2025-08-01,000932.SZ;603323.SH;601333.SH;600248.SH;601860.SH...(10),10,0.038293091937354126
2025-08-01,2025-09-01,600908.SH;603323.SH;601577.SH;002839.SZ;600064.SH...(10),10,-0.0027593005708927607
2025-09-01,2025-10-09,603323.SH;002958.SZ;601577.SH;600269.SH;601860.SH...(10),10,-0.06624986463925885
2025-10-09,2025-11-03,601577.SH;601963.SH;603323.SH;600908.SH;002807.SZ...(10),10,0.06458877427404783
2025-11-03,2025-12-01,603323.SH;601860.SH;600248.SH;601528.SH;002936.SZ...(10),10,-0.006343831742082992
2025-12-01,2026-01-05,603323.SH;601997.SH;601528.SH;600248.SH;601860.SH...(10),10,-0.017737802471905505
2026-01-05,2026-02-02,002958.SZ;600908.SH;002936.SZ;600269.SH;600248.SH...(10),10,0.007516115493636658
2026-02-02,2026-03-02,603323.SH;002936.SZ;600908.SH;600269.SH;600248.SH...(10),10,-0.006824885127604116
2026-03-02,2026-04-01,600908.SH;601997.SH;002807.SZ;601577.SH;002958.SZ...(10),10,0.006217244575846673
2026-04-01,2026-05-06,603323.SH;600908.SH;601577.SH;601997.SH;001227.SZ...(10),10,-0.013726336010341652
2026-05-06,2026-06-01,600269.SH;601577.SH;002807.SZ;000401.SZ;600704.SH...(10),10,-0.06479682934207934
